3 + 5,8
100 - 42,58
-1 * 7 + 2,-5
10 / (4 + 1),2.0
-0 * -1,0
(42 + 1.618) * (100 - 3.14),4224.839480000001
100 mod 3 + 1.618,2.6180000000000003
"max(3, 4)",4
"sum(42, 100, 42)",184
"average(7 - 1, 100 + 2, -1)",35.666666666666664
(1.618 == -1 ? 1 : 0),0
((42 + 1) < 10 ? 100 : 42 + 2),44
((0 > 7 && 100 < 100) ? 3 : 4 * 3.14),12.56
((100 == 3.14 ? 7 : -1) + 5) * 2,8
(not (1.618 < 7) ? 1 : 0),0
((0 != 100 || 7 == 0) ? -1 + 3.14 : -1 * 3.14),2.14
"-min(0, 7) * ((1.618 == 0) ? 5 : 10)",0
"(1.618 + 42) * max((7 > 7 ? 1 : 2), 3)",130.854
"sum(1, 2, ((100 != 1.618) ? 0 : 1)) + 7",10
